n,steps,moves
28,53,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""]]"
29,55,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""]]"
30,57,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""]]"
31,59,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""]]"
32,61,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""]]"
33,63,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""], [""A_1"", ""a_1""], [""A_1"", ""A_33"", ""a_1"", ""a_33""]]"
34,65,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""], [""A_1"", ""a_1""], [""A_1"", ""A_33"", ""a_1"", ""a_33""], [""A_1"", ""a_1""], [""A_1"", ""A_34"", ""a_1"", ""a_34""]]"
35,67,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""], [""A_1"", ""a_1""], [""A_1"", ""A_33"", ""a_1"", ""a_33""], [""A_1"", ""a_1""], [""A_1"", ""A_34"", ""a_1"", ""a_34""], [""A_1"", ""a_1""], [""A_1"", ""A_35"", ""a_1"", ""a_35""]]"
36,69,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""], [""A_1"", ""a_1""], [""A_1"", ""A_33"", ""a_1"", ""a_33""], [""A_1"", ""a_1""], [""A_1"", ""A_34"", ""a_1"", ""a_34""], [""A_1"", ""a_1""], [""A_1"", ""A_35"", ""a_1"", ""a_35""], [""A_1"", ""a_1""], [""A_1"", ""A_36"", ""a_1"", ""a_36""]]"
37,71,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""], [""A_1"", ""a_1""], [""A_1"", ""A_16"", ""a_1"", ""a_16""], [""A_1"", ""a_1""], [""A_1"", ""A_17"", ""a_1"", ""a_17""], [""A_1"", ""a_1""], [""A_1"", ""A_18"", ""a_1"", ""a_18""], [""A_1"", ""a_1""], [""A_1"", ""A_19"", ""a_1"", ""a_19""], [""A_1"", ""a_1""], [""A_1"", ""A_20"", ""a_1"", ""a_20""], [""A_1"", ""a_1""], [""A_1"", ""A_21"", ""a_1"", ""a_21""], [""A_1"", ""a_1""], [""A_1"", ""A_22"", ""a_1"", ""a_22""], [""A_1"", ""a_1""], [""A_1"", ""A_23"", ""a_1"", ""a_23""], [""A_1"", ""a_1""], [""A_1"", ""A_24"", ""a_1"", ""a_24""], [""A_1"", ""a_1""], [""A_1"", ""A_25"", ""a_1"", ""a_25""], [""A_1"", ""a_1""], [""A_1"", ""A_26"", ""a_1"", ""a_26""], [""A_1"", ""a_1""], [""A_1"", ""A_27"", ""a_1"", ""a_27""], [""A_1"", ""a_1""], [""A_1"", ""A_28"", ""a_1"", ""a_28""], [""A_1"", ""a_1""], [""A_1"", ""A_29"", ""a_1"", ""a_29""], [""A_1"", ""a_1""], [""A_1"", ""A_30"", ""a_1"", ""a_30""], [""A_1"", ""a_1""], [""A_1"", ""A_31"", ""a_1"", ""a_31""], [""A_1"", ""a_1""], [""A_1"", ""A_32"", ""a_1"", ""a_32""], [""A_1"", ""a_1""], [""A_1"", ""A_33"", ""a_1"", ""a_33""], [""A_1"", ""a_1""], [""A_1"", ""A_34"", ""a_1"", ""a_34""], [""A_1"", ""a_1""], [""A_1"", ""A_35"", ""a_1"", ""a_35""], [""A_1"", ""a_1""], [""A_1"", ""A_36"", ""a_1"", ""a_36""], [""A_1"", ""a_1""], [""A_1"", ""A_37"", ""a_1"", ""a_37""]]"
